"POS
NAL.","POS
DPTO","COD
ICFES",INSTITUCION,MUNICIPIO,NATURALEZA,JORNADA,EVALUADOS,PG  2022,PG 2021,"VARIACIÓN
PG",LC 2022,LC 2021,"VARIACIÓN
LC",MAT 2022,MAT 2021,"VARIACIÓN
MAT",SYC 2022,SYC 2021,"VARIACIÓN
SYC",CN 2022,CN 2021,"VARIACIÓN
CN",ING 2022,ING 2021,"VARIACIÓN
ING"
137,1,106401,INST COMERCIAL  INDUSTRIAL Y TECNOLÓGICO ICIT,CALI,NO OFICIAL,MAÑANA,35,337.3,319.0,18.3,69,66.0,3.0,70,64.0,6.0,63,61.0,2.0,67,63.0,4.0,70,67.0,3.0
200,2,112219,COL. RAFAEL POMBO,CARTAGO,NO OFICIAL,MAÑANA,15,331.5,300.0,31.5,66,61.0,5.0,69,60.0,9.0,64,56.0,8.0,63,60.0,3.0,76,69.0,7.0
261,3,84608,INST NUESTRA SEÑORA DE LA ASUNCION,CALI,NO OFICIAL,COMPLETA,37,326.5,322.0,4.5,66,66.0,0.0,67,66.0,1.0,62,61.0,1.0,63,62.0,1.0,75,72.0,3.0
286,4,161224,COLEGIO BILINGUE HISPANO AMERICANO,TULUÁ,NO OFICIAL,MAÑANA,31,325.0,328.0,-3.0,66,67.0,-1.0,66,65.0,1.0,61,63.0,-2.0,63,63.0,0.0,77,78.0,-1.0
334,5,645101,AGROPECUARIO DE ALASKA,GUADALAJARA DE BUGA,OFICIAL,ÚNICA,5,321.9,257.0,64.9,66,57.0,9.0,65,50.0,15.0,65,45.0,20.0,63,53.0,10.0,60,53.0,7.0
337,6,118216,COLEGIO RICARDO NIETO,FLORIDA,NO OFICIAL,MAÑANA,14,321.9,330.0,-8.1,65,66.0,-1.0,68,69.0,-1.0,62,63.0,-1.0,63,66.0,-3.0,63,65.0,-2.0
406,7,18937,COLEGIO NAZARETH,TULUÁ,NO OFICIAL,COMPLETA,39,317.7,297.0,20.7,64,62.0,2.0,65,60.0,5.0,62,56.0,6.0,62,57.0,5.0,67,66.0,1.0
409,8,714725,INSTITUCIÓN EDUCATIVA VIRTUAL ANDINOS - SEDE PRINCIPAL,EL CERRITO,NO OFICIAL,MAÑANA,1,317.7,251.0,66.7,68,54.0,14.0,59,50.0,9.0,64,49.0,15.0,61,49.0,12.0,70,46.0,24.0
448,9,18952,COLEGIO SALESIANO SAN JUAN BOSCO,TULUÁ,NO OFICIAL,COMPLETA,56,315.4,299.0,16.4,64,60.0,4.0,65,62.0,3.0,60,57.0,3.0,62,58.0,4.0,67,66.0,1.0
486,10,189746,INST COLEGIO EMANUEL,FLORIDA,NO OFICIAL,MAÑANA,23,313.5,304.0,9.5,63,64.0,-1.0,63,59.0,4.0,59,59.0,0.0,65,61.0,4.0,65,61.0,4.0
515,11,34280,COL VILLA DE LAS PALMAS,PALMIRA,NO OFICIAL,MAÑANA,11,312.3,280.0,32.3,66,60.0,6.0,62,55.0,7.0,60,54.0,6.0,61,55.0,6.0,65,55.0,10.0
563,12,18598,CARDENAS CENTRO,PALMIRA,OFICIAL,MAÑANA,70,310.4,304.0,6.4,64,63.0,1.0,64,62.0,2.0,59,59.0,0.0,61,59.0,2.0,63,62.0,1.0
612,13,734749,"INSTITUCION EDUCATIVA TECNICO INDUSTRIAL JOSE MARIA
CARBONELL",CALI,OFICIAL,ÚNICA,134,309.2,288.0,21.2,63,60.0,3.0,63,58.0,5.0,60,56.0,4.0,61,56.0,5.0,63,60.0,3.0
645,14,16659,CORPORACION EDUCATIVA ADVENTISTA- CÁMBULOS,CALI,NO OFICIAL,MAÑANA,30,308.1,297.0,11.1,62,62.0,0.0,66,60.0,6.0,57,57.0,0.0,61,58.0,3.0,63,60.0,3.0
661,15,62406,LIC COMERCIAL LA MILAGROSA,CALI,NO OFICIAL,MAÑANA,38,307.3,293.0,14.3,62,62.0,0.0,65,60.0,5.0,57,57.0,0.0,62,56.0,6.0,61,56.0,5.0
673,16,18945,COLEGIO SAN FRANCISCO,TULUÁ,NO OFICIAL,MAÑANA,35,306.9,323.0,-16.1,62,66.0,-4.0,62,65.0,-3.0,61,64.0,-3.0,59,62.0,-3.0,66,69.0,-3.0
697,17,190025,COLEGIO LOS ANGELES DEL NORTE DE OCCIDENTE - SEDE PRINCIPAL,CALI,NO OFICIAL,COMPLETA,41,306.2,298.0,8.2,62,62.0,0.0,63,60.0,3.0,59,57.0,2.0,60,58.0,2.0,64,63.0,1.0
712,18,101717,GABO SECUNDARIA,CARTAGO,OFICIAL,MAÑANA,150,305.8,295.0,10.8,63,61.0,2.0,64,61.0,3.0,57,56.0,1.0,60,57.0,3.0,63,62.0,1.0
725,19,111575,COLEGIO CAMPESTRE  SAN JUAN DE LA LOMA,TULUÁ,NO OFICIAL,MAÑANA,16,305.4,303.0,2.4,63,63.0,0.0,61,61.0,0.0,59,58.0,1.0,59,59.0,0.0,68,64.0,4.0
749,20,748855,NARCISO CABAL SALCEDO - SEDE PRINCIPAL,GUADALAJARA DE BUGA,OFICIAL,ÚNICA,53,305.0,281.0,24.0,63,58.0,5.0,62,56.0,6.0,59,55.0,4.0,60,56.0,4.0,61,56.0,5.0
760,21,69864,INSTITUTO TECNICO DE COMERCIO Y SISTEMAS,CALI,NO OFICIAL,COMPLETA,11,304.2,260.0,44.2,63,56.0,7.0,61,50.0,11.0,61,50.0,11.0,57,51.0,6.0,65,55.0,10.0
769,22,24349,IE SAN VICENTE,PALMIRA,OFICIAL,MAÑANA,142,304.2,306.0,-1.8,64,64.0,0.0,62,62.0,0.0,58,60.0,-2.0,59,59.0,0.0,62,61.0,1.0
780,23,70722,CARDENAS CENTRO,PALMIRA,OFICIAL,TARDE,76,303.5,291.0,12.5,62,61.0,1.0,62,59.0,3.0,59,57.0,2.0,59,56.0,3.0,63,58.0,5.0
815,24,101055,COLEGIO CENTRAL,EL CERRITO,NO OFICIAL,TARDE,16,302.7,287.0,15.7,63,58.0,5.0,62,60.0,2.0,58,55.0,3.0,59,56.0,3.0,61,59.0,2.0
862,25,158071,INST COMERCIAL  INDUSTRIAL Y TECNOLÓGICO ICIT,CALI,NO OFICIAL,TARDE,31,301.5,282.0,19.5,63,59.0,4.0,60,58.0,2.0,57,53.0,4.0,60,55.0,5.0,64,58.0,6.0
912,26,636977,COL JUAN PABLO II,JAMUNDÍ,NO OFICIAL,COMPLETA,39,299.6,296.0,3.6,62,61.0,1.0,64,63.0,1.0,56,57.0,-1.0,57,56.0,1.0,62,59.0,3.0
935,27,634808,CENTRO EDUCATIVO CONOCIMIENTO Y SABIDURIA - SEDE PRINCIPAL,BUENAVENTURA,NO OFICIAL,MAÑANA,28,298.8,278.0,20.8,63,58.0,5.0,59,54.0,5.0,58,55.0,3.0,57,53.0,4.0,66,63.0,3.0
945,28,58776,IE SAN VICENTE,PALMIRA,OFICIAL,TARDE,106,298.8,290.0,8.8,62,61.0,1.0,61,58.0,3.0,58,56.0,2.0,58,57.0,1.0,60,58.0,2.0
956,29,124974,COL EL DIVINO ECCE HOMO,PALMIRA,NO OFICIAL,TARDE,3,298.5,239.0,59.5,61,55.0,6.0,60,47.0,13.0,59,45.0,14.0,61,43.0,18.0,53,52.0,1.0
1004,30,89359,"INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL COMUNA 17 - SEDE
PRINCIPAL",CALI,OFICIAL,MAÑANA,133,297.7,292.0,5.7,62,61.0,1.0,62,59.0,3.0,56,56.0,0.0,58,57.0,1.0,60,60.0,0.0
1025,31,111500,LA MILAGROSA,PALMIRA,OFICIAL,MAÑANA,146,296.9,287.0,9.9,61,59.0,2.0,61,59.0,2.0,58,55.0,3.0,57,56.0,1.0,61,60.0,1.0
1028,32,18739,ATENEO COMERCIAL FEMENINO,PRADERA,OFICIAL,MAÑANA,73,296.5,294.0,2.5,62,62.0,0.0,61,61.0,0.0,58,56.0,2.0,57,58.0,-1.0,57,53.0,4.0
1051,33,702613,COLEGIO ALEJANDRIA - SEDE PRINCIPAL,JAMUNDÍ,NO OFICIAL,MAÑANA,13,296.2,289.0,7.2,60,58.0,2.0,59,57.0,2.0,58,56.0,2.0,57,56.0,1.0,68,70.0,-2.0
1063,34,671214,INSTITUTO TECNICO INDUSTRIAL Y COMERCIAL ANTONIO LIZARAZO,PALMIRA,OFICIAL,ÚNICA,28,296.2,262.0,34.2,60,54.0,6.0,65,52.0,13.0,54,51.0,3.0,59,52.0,7.0,56,53.0,3.0
1113,35,161083,COLEGIO GIMNASIO LOS ALPES,ROLDANILLO,NO OFICIAL,MAÑANA,4,294.6,308.0,-13.4,61,64.0,-3.0,58,62.0,-4.0,58,62.0,-4.0,58,59.0,-1.0,61,61.0,0.0
1114,36,28993,COLEGIO PARROQUIAL DIVINO SALVADOR,CALI,NO OFICIAL,COMPLETA,29,294.6,281.0,13.6,61,58.0,3.0,59,56.0,3.0,57,55.0,2.0,57,55.0,2.0,64,59.0,5.0
1122,37,636456,COL ANTONIO JOSE GONZALEZ,BUGALAGRANDE,NO OFICIAL,MAÑANA,11,294.2,284.0,10.2,62,60.0,2.0,58,57.0,1.0,57,54.0,3.0,58,55.0,3.0,60,61.0,-1.0
1128,38,632380,GIMNASIO BUENAVENTURA,BUENAVENTURA,NO OFICIAL,MAÑANA,17,294.2,282.0,12.2,62,61.0,1.0,57,55.0,2.0,58,55.0,3.0,57,54.0,3.0,63,59.0,4.0
1161,39,43026,LIC EJERCITO PICHINCHA,CALI,OFICIAL,MAÑANA,28,293.8,320.0,-26.2,59,65.0,-6.0,58,65.0,-7.0,57,62.0,-5.0,60,63.0,-3.0,62,67.0,-5.0
1163,40,118257,SAN CARLOS,SEVILLA,NO OFICIAL,MAÑANA,12,293.8,307.0,-13.2,61,61.0,0.0,59,62.0,-3.0,56,63.0,-7.0,58,61.0,-3.0,62,58.0,4.0
1178,41,62216,INST TEC DIVERSIFICADO GRAJALES,LA UNIÓN,NO OFICIAL,MAÑANA,18,293.5,295.0,-1.5,60,63.0,-3.0,61,58.0,3.0,54,59.0,-5.0,58,55.0,3.0,64,62.0,2.0
1180,42,267849,"INSTITUCIÓN EDUCATIVA TÉCNICA DE BALLET CLASICO INCOLBALLET
SEDE PRINCIPAL",CALI,OFICIAL,ÚNICA,40,293.5,286.0,7.5,61,61.0,0.0,59,58.0,1.0,57,54.0,3.0,57,54.0,3.0,61,62.0,-1.0
1192,43,111526,ESC SANTA BARBARA,SEVILLA,OFICIAL,MAÑANA,6,293.1,218.0,75.1,59,46.0,13.0,60,45.0,15.0,58,39.0,19.0,57,44.0,13.0,60,44.0,16.0
1200,44,26864,SAN JOSE,LA UNIÓN,OFICIAL,MAÑANA,98,293.1,289.0,4.1,63,62.0,1.0,59,58.0,1.0,56,56.0,0.0,56,56.0,0.0,60,56.0,4.0
1205,45,736850,COLEGIO COMFANDI TULUA,TULUÁ,NO OFICIAL,ÚNICA,71,292.7,293.0,-0.3,63,62.0,1.0,57,56.0,1.0,58,59.0,-1.0,55,56.0,-1.0,62,62.0,0.0
1208,46,136275,COLEGIO SAN LUIS - SEDE PRINCIPAL,SEVILLA,NO OFICIAL,MAÑANA,26,292.7,279.0,13.7,60,60.0,0.0,59,54.0,5.0,56,54.0,2.0,57,54.0,3.0,65,60.0,5.0
1209,47,136051,COLEGIO SAN PEDRO CLAVER,TULUÁ,NO OFICIAL,MAÑANA,79,292.7,288.0,4.7,61,60.0,1.0,59,58.0,1.0,56,55.0,1.0,57,57.0,0.0,62,60.0,2.0
1234,48,18465,GINEBRA LA SALLE,GINEBRA,OFICIAL,MAÑANA,94,292.3,285.0,7.3,62,61.0,1.0,59,58.0,1.0,56,55.0,1.0,58,55.0,3.0,55,54.0,1.0
1237,49,638189,INSTITUCION EDUCATIVA LICEO DEL SABER - SEDE PRINCIPAL,ZARZAL,NO OFICIAL,MAÑANA,18,292.3,293.0,-0.7,63,63.0,0.0,59,57.0,2.0,54,54.0,0.0,56,58.0,-2.0,64,67.0,-3.0
1259,50,17798,INSTITUCION EDUCATIVA LICEO DEPARTAMENTAL - SEDE PRINCIPAL,CALI,OFICIAL,MAÑANA,232,291.9,287.0,4.9,61,61.0,0.0,58,56.0,2.0,57,57.0,0.0,57,55.0,2.0,60,59.0,1.0
1260,51,17681,"INSTITUCION EDUCATIVA TECNICA DE COMERCIO SIMON
RODRIGUEZ",CALI,OFICIAL,MAÑANA,74,291.9,274.0,17.9,61,58.0,3.0,58,54.0,4.0,56,53.0,3.0,58,54.0,4.0,60,55.0,5.0
1284,52,136846,LICEO MAYOR DEL PACIFICO,BUENAVENTURA,NO OFICIAL,MAÑANA,6,291.5,239.0,52.5,63,53.0,10.0,54,48.0,6.0,57,47.0,10.0,58,44.0,14.0,62,45.0,17.0
1286,53,153163,NUEVO HORIZONTE,ANDALUCÍA,NO OFICIAL,MAÑANA,20,291.5,262.0,29.5,60,56.0,4.0,58,52.0,6.0,59,50.0,9.0,57,51.0,6.0,56,54.0,2.0
1288,54,158063,COLEGIO TÉCNICO INPROVACC,CALI,NO OFICIAL,MAÑANA,26,291.2,282.0,9.2,61,59.0,2.0,57,55.0,2.0,58,57.0,1.0,56,55.0,1.0,61,54.0,7.0
1290,55,94763,COLEGIO SENDEROS,JAMUNDÍ,NO OFICIAL,MAÑANA,25,291.2,293.0,-1.8,61,63.0,-2.0,58,58.0,0.0,55,56.0,-1.0,57,55.0,2.0,64,65.0,-1.0
1304,56,84426,CENTRO EDUCATIVO LEONARDO DA VINCI,CALI,NO OFICIAL,MAÑANA,17,290.8,288.0,2.8,59,61.0,-2.0,59,59.0,0.0,57,54.0,3.0,59,58.0,1.0,54,53.0,1.0
1322,57,89136,INSTITUCION EDUCATIVA VILLACOLOMBIA,CALI,OFICIAL,MAÑANA,39,290.8,283.0,7.8,62,60.0,2.0,57,56.0,1.0,56,54.0,2.0,57,55.0,2.0,60,62.0,-2.0
1344,58,31286,COLEGIO NUESTRA SEÑORA DE FATIMA,CALI,OFICIAL,MAÑANA,70,290.0,285.0,5.0,61,60.0,1.0,56,56.0,0.0,58,56.0,2.0,56,55.0,1.0,61,60.0,1.0
1354,59,18671,INST. TECNICO INDUSTRIAL FRAY LUIS AMIGO,PALMIRA,NO OFICIAL,COMPLETA,37,290.0,276.0,14.0,61,59.0,2.0,58,53.0,5.0,56,54.0,2.0,56,53.0,3.0,61,61.0,0.0
1370,60,106369,COLEGIO PARROQUIAL SAN FRANCISCO JAVIER,CALI,NO OFICIAL,MAÑANA,89,289.6,292.0,-2.4,60,60.0,0.0,59,59.0,0.0,56,56.0,0.0,57,58.0,-1.0,57,59.0,-2.0
1385,61,629840,COLEGIO CIUDAD CÓRDOBA,CALI,NO OFICIAL,TARDE,27,289.2,277.0,12.2,61,60.0,1.0,59,55.0,4.0,55,53.0,2.0,57,54.0,3.0,56,54.0,2.0
1406,62,58784,INSTITUTO COMERCIAL SAN FRANCISCO DE ASÍS,FLORIDA,NO OFICIAL,MAÑANA,26,288.8,300.0,-11.2,60,62.0,-2.0,58,60.0,-2.0,57,60.0,-3.0,57,59.0,-2.0,55,56.0,-1.0
1444,63,142679,LICEO  SAGRADO CORAZON DE JESUS - SEDE PRINCIPAL,CALI,NO OFICIAL,COMPLETA,23,288.1,267.0,21.1,61,58.0,3.0,60,53.0,7.0,54,51.0,3.0,55,51.0,4.0,59,56.0,3.0
1467,64,631556,CENTRO DOCENTE SANTIAGO DE CALI NO.2,CALI,NO OFICIAL,MAÑANA,26,287.3,278.0,9.3,61,59.0,2.0,57,56.0,1.0,55,51.0,4.0,56,56.0,0.0,60,57.0,3.0
1481,65,18077,SEMINARIO SAN BUENAVENTURA,BUENAVENTURA,NO OFICIAL,MAÑANA,28,287.3,270.0,17.3,60,58.0,2.0,57,54.0,3.0,57,52.0,5.0,55,51.0,4.0,60,57.0,3.0
1529,66,62604,INST.COMERCIAL DEL PACIFICO,BUENAVENTURA,NO OFICIAL,MAÑANA,31,286.2,282.0,4.2,60,60.0,0.0,58,57.0,1.0,55,53.0,2.0,56,54.0,2.0,57,60.0,-3.0
1533,67,553875,JOSE HOLGUIN GARCES,CALI,OFICIAL,ÚNICA,13,286.2,263.0,23.2,60,54.0,6.0,58,53.0,5.0,55,51.0,4.0,56,53.0,3.0,57,50.0,7.0
1536,68,18259,MARÍA AUXILIADORA DEPARTAMENTAL,CARTAGO,OFICIAL,MAÑANA,111,286.2,280.0,6.2,59,60.0,-1.0,59,56.0,3.0,55,54.0,1.0,55,53.0,2.0,60,60.0,0.0
1539,69,701771,CENTRO EDUCATIVO HORIZONTES,PALMIRA,NO OFICIAL,MAÑANA,8,285.8,287.0,-1.2,59,59.0,0.0,57,58.0,-1.0,55,55.0,0.0,57,57.0,0.0,59,59.0,0.0
1569,70,637637,COLEGIO GUILLERMO PONCE DE LEON,TULUÁ,NO OFICIAL,MAÑANA,20,285.4,306.0,-20.6,59,63.0,-4.0,56,62.0,-6.0,55,58.0,-3.0,55,59.0,-4.0,67,70.0,-3.0
1590,71,66084,COLEGIO CIUDAD CÓRDOBA,CALI,NO OFICIAL,MAÑANA,55,285.0,278.0,7.0,60,58.0,2.0,57,56.0,1.0,55,52.0,3.0,56,56.0,0.0,57,56.0,1.0
1596,72,193672,COLEGIO PARROQUIAL MARIA INMACULADA,PRADERA,NO OFICIAL,MAÑANA,15,285.0,276.0,9.0,60,59.0,1.0,56,55.0,1.0,56,54.0,2.0,55,52.0,3.0,60,57.0,3.0
1609,73,723403,LA PROVIDENCIA,CALI,OFICIAL,MAÑANA,32,285.0,280.0,5.0,58,58.0,0.0,60,56.0,4.0,54,53.0,1.0,56,57.0,-1.0,57,57.0,0.0
1612,74,671081,TULIO ENRIQUE TASCON - SEDE PRINCIPAL,GUADALAJARA DE BUGA,OFICIAL,TARDE,190,285.0,282.0,3.0,60,59.0,1.0,59,58.0,1.0,54,54.0,0.0,55,55.0,0.0,57,56.0,1.0
1613,75,730135,CENTRO EDUCATIVO CONOCIMIENTO Y SABIDURIA - SEDE PRINCIPAL,BUENAVENTURA,NO OFICIAL,TARDE,57,284.6,287.0,-2.4,61,62.0,-1.0,55,55.0,0.0,56,55.0,1.0,53,55.0,-2.0,65,64.0,1.0
1650,76,36863,ESCUELA MERCANTIL,TULUÁ,NO OFICIAL,COMPLETA,29,284.2,281.0,3.2,59,58.0,1.0,56,57.0,-1.0,57,55.0,2.0,54,54.0,0.0,61,58.0,3.0
1684,77,70128,CENT DOC SANTIAGO DE CALI,CALI,NO OFICIAL,MAÑANA,55,283.5,258.0,25.5,60,55.0,5.0,56,51.0,5.0,54,50.0,4.0,56,50.0,6.0,59,52.0,7.0
1728,78,143255,JOSE MARIA CORDOBA,YUMBO,OFICIAL,MAÑANA,103,283.1,265.0,18.1,59,57.0,2.0,59,53.0,6.0,53,50.0,3.0,56,51.0,5.0,55,55.0,0.0
1756,79,632422,LICEO DE OCCIDENTE,BUENAVENTURA,NO OFICIAL,MAÑANA,34,282.7,274.0,8.7,58,59.0,-1.0,58,54.0,4.0,54,54.0,0.0,55,52.0,3.0,60,56.0,4.0
1759,80,190652,CENT EDUC JUAN CARLOS GARZON,CALI,NO OFICIAL,MAÑANA,20,282.3,265.0,17.3,59,55.0,4.0,60,55.0,5.0,52,51.0,1.0,56,52.0,4.0,53,51.0,2.0
